Player,Pos,Age,Tm,MP,FG%,3P%,eFG%,FT%,TRB,AST,STL,BLK,TOV,PTS
Malik Fitts,PF,24,TOT,4.2,0.421,0.5,0.553,0,1.1,0.3,0,0,0.1,1.4
Malik Fitts,PF,24,UTA,5,0.222,0.5,0.333,0,1.4,0,0,0,0.3,0.9
Malik Fitts,PF,24,BOS,3.5,0.6,0.5,0.75,0,0.9,0.6,0,0,0,1.9
Malachi Flynn,PG,23,TOR,12.2,0.393,0.333,0.475,0.625,1.4,1.6,0.5,0.1,0.3,4.3
Bryn Forbes,SG,28,TOT,17.1,0.429,0.414,0.542,0.908,1.2,1,0.3,0.1,0.7,8.8
Bryn Forbes,SG,28,SAS,16.9,0.432,0.417,0.539,0.898,1.6,1,0.4,0.1,0.8,9.1
Bryn Forbes,SG,28,DEN,17.4,0.424,0.41,0.545,0.921,0.9,1,0.2,0.1,0.7,8.6
Aleem Ford,SF,24,ORL,14.8,0.3,0.133,0.35,0,3,0.4,0.2,0,0.8,2.8
Trent Forrest,PG,23,UTA,12.8,0.49,0.185,0.506,0.792,1.7,1.8,0.5,0.1,0.8,3.3
Evan Fournier,SG,29,NYK,29.5,0.417,0.389,0.541,0.708,2.6,2.1,1,0.3,1.3,14.1
De'Aaron Fox,PG,24,SAC,35.3,0.473,0.297,0.506,0.75,3.9,5.6,1.2,0.4,2.8,23.2
Melvin Frazier,SG,25,OKC,40,0.271,0.048,0.281,0.714,4.3,0.3,0.3,0,1,10.7
Tim Frazier,PG,31,TOT,17.3,0.311,0.353,0.378,0.556,1.6,2.8,0.3,0.1,1.3,3.3
Tim Frazier,PG,31,ORL,20,0.302,0.353,0.372,0.556,1.9,3.3,0.3,0.1,1.3,3.7
Tim Frazier,PG,31,CLE,4,0.5,0,0.5,0,0,0.5,0,0,1,1
Enes Freedom,C,29,BOS,11.7,0.526,0.4,0.536,0.857,4.6,0.2,0.1,0.4,0.6,3.7
Markelle Fultz,PG,23,ORL,20,0.474,0.235,0.486,0.806,2.7,5.5,1.1,0.3,2.2,10.8
Wenyen Gabriel,PF,24,TOT,13.8,0.491,0.286,0.527,0.595,3.7,0.5,0.2,0.4,0.6,5.4
Wenyen Gabriel,PF,24,BRK,1,0,0,0,0,1,0,0,0,0,0
Wenyen Gabriel,PF,24,LAC,7.7,0.385,0.4,0.462,0.5,2.3,0.3,0.2,0.3,0.5,2.3
Wenyen Gabriel,PF,24,LAL,16.4,0.505,0.261,0.536,0.605,4.3,0.6,0.2,0.5,0.7,6.7
Daniel Gafford,C,23,WAS,20.1,0.693,0,0.693,0.699,5.7,0.9,0.4,1.4,0.9,9.4
Danilo Gallinari,PF,33,ATL,25.3,0.434,0.381,0.528,0.904,4.7,1.5,0.4,0.2,0.6,11.7
Langston Galloway,SG,30,TOT,15.3,0.231,0.125,0.269,0,2.6,1.7,0.1,0,0.9,2
Langston Galloway,SG,30,BRK,14.5,0.385,0.25,0.462,0,2,1.3,0,0,1.3,3
Langston Galloway,SG,30,MIL,16.3,0.077,0,0.077,0,3.3,2.3,0.3,0,0.3,0.7
